dt,hour,Rimmediate,month,year,cycle
2024-01-01,6pm,14.4,1,2024,1
2024-01-01,7pm,22.98,1,2024,1
2024-01-01,8pm,20.34,1,2024,1
2024-01-08,4pm,5.43,1,2024,1
2024-01-08,5pm,26.42,1,2024,1
2024-01-08,6pm,26.12,1,2024,1
2024-01-08,7pm,8.74,1,2024,1
2024-01-09,4pm,14.87,1,2024,1
2024-01-09,5pm,24.41,1,2024,1
2024-01-09,6pm,15.54,1,2024,1
2024-01-10,5pm,9.22,1,2024,1
2024-01-12,4pm,8.95,1,2024,1
2024-01-12,5pm,29.58,1,2024,1
2024-01-12,6pm,31.4,1,2024,1
2024-01-12,7pm,19.69,1,2024,1
2024-01-12,8pm,9.42,1,2024,1
2024-01-13,5pm,18.63,1,2024,1
2024-01-13,6pm,16.84,1,2024,1
2024-01-14,5pm,30.37,1,2024,1
2024-01-14,6pm,27.55,1,2024,1
2024-01-14,7pm,5.28,1,2024,1
2024-01-17,5pm,21.28,1,2024,2
2024-01-17,6pm,24.42,1,2024,2
2024-01-18,4pm,23.57,1,2024,2
2024-01-18,5pm,27.89,1,2024,2
2024-01-18,6pm,19.71,1,2024,2
